time [s];swlx [m];swly [m];swlz [m];pos0x [m];pos0y [m];pos0z [m];pos2x [m];pos2y [m];pos2z [m]
0.420017;0.2;0;1.40799;0.2;0;-0.05;0.2;0;2.1
0.430022;0.2;0;1.38772;0.2;0;-0.05;0.2;0;2.1
0.440010;0.2;0;1.36767;0.2;0;-0.05;0.2;0;2.1
0.450019;0.2;0;1.34776;0.2;0;-0.05;0.2;0;2.1
0.460029;0.2;0;1.32791;0.2;0;-0.05;0.2;0;2.1
0.470020;0.2;0;1.30813;0.2;0;-0.05;0.2;0;2.1
0.480008;0.2;0;1.28832;0.2;0;-0.05;0.2;0;2.1
0.490025;0.2;0;1.26862;0.2;0;-0.05;0.2;0;2.1
0.500026;0.2;0;1.24978;0.2;0;-0.05;0.2;0;2.1
0.510019;0.2;0;1.23271;0.2;0;-0.05;0.2;0;2.1
0.520031;0.2;0;1.21724;0.2;0;-0.05;0.2;0;2.1
0.530000;0.2;0;1.20138;0.2;0;-0.05;0.2;0;2.1
0.540015;0.2;0;1.18372;0.2;0;-0.05;0.2;0;2.1
0.550018;0.2;0;1.16486;0.2;0;-0.05;0.2;0;2.1
0.560020;0.2;0;1.14554;0.2;0;-0.05;0.2;0;2.1
0.570009;0.2;0;1.126;0.2;0;-0.05;0.2;0;2.1
0.580012;0.2;0;1.10618;0.2;0;-0.05;0.2;0;2.1
0.590015;0.2;0;1.08621;0.2;0;-0.05;0.2;0;2.1
0.600006;0.2;0;1.06629;0.2;0;-0.05;0.2;0;2.1
0.610027;0.2;0;1.04683;0.2;0;-0.05;0.2;0;2.1
0.620014;0.2;0;1.02864;0.2;0;-0.05;0.2;0;2.1
0.630024;0.2;0;1.01171;0.2;0;-0.05;0.2;0;2.1
0.640028;0.2;0;0.994672;0.2;0;-0.05;0.2;0;2.1
0.650000;0.2;0;0.977493;0.2;0;-0.05;0.2;0;2.1
0.660028;0.2;0;0.959897;0.2;0;-0.05;0.2;0;2.1
0.670013;0.2;0;0.943193;0.2;0;-0.05;0.2;0;2.1
0.680004;0.2;0;0.926059;0.2;0;-0.05;0.2;0;2.1
0.690001;0.2;0;0.907629;0.2;0;-0.05;0.2;0;2.1
0.700011;0.2;0;0.888188;0.2;0;-0.05;0.2;0;2.1
0.710013;0.2;0;0.869995;0.2;0;-0.05;0.2;0;2.1
0.720004;0.2;0;0.854078;0.2;0;-0.05;0.2;0;2.1
0.730012;0.2;0;0.839519;0.2;0;-0.05;0.2;0;2.1
0.740006;0.2;0;0.823721;0.2;0;-0.05;0.2;0;2.1
0.750007;0.2;0;0.809267;0.2;0;-0.05;0.2;0;2.1
0.760012;0.2;0;0.800024;0.2;0;-0.05;0.2;0;2.1
0.770015;0.2;0;0.787466;0.2;0;-0.05;0.2;0;2.1
0.780008;0.2;0;0.775354;0.2;0;-0.05;0.2;0;2.1
0.790004;0.2;0;0.76154;0.2;0;-0.05;0.2;0;2.1
0.800013;0.2;0;0.751122;0.2;0;-0.05;0.2;0;2.1
0.810004;0.2;0;0.740912;0.2;0;-0.05;0.2;0;2.1
0.820020;0.2;0;0.726431;0.2;0;-0.05;0.2;0;2.1
0.830001;0.2;0;0.719047;0.2;0;-0.05;0.2;0;2.1
0.840020;0.2;0;0.706933;0.2;0;-0.05;0.2;0;2.1
0.850010;0.2;0;0.69;0.2;0;-0.05;0.2;0;2.1
0.860005;0.2;0;0.677674;0.2;0;-0.05;0.2;0;2.1
0.870002;0.2;0;0.665788;0.2;0;-0.05;0.2;0;2.1
0.880003;0.2;0;0.655644;0.2;0;-0.05;0.2;0;2.1
0.890016;0.2;0;0.654313;0.2;0;-0.05;0.2;0;2.1
0.900021;0.2;0;0.645755;0.2;0;-0.05;0.2;0;2.1
0.910010;0.2;0;0.6382;0.2;0;-0.05;0.2;0;2.1
0.920010;0.2;0;0.626256;0.2;0;-0.05;0.2;0;2.1
0.930006;0.2;0;0.620567;0.2;0;-0.05;0.2;0;2.1
0.940022;0.2;0;0.616817;0.2;0;-0.05;0.2;0;2.1
0.950004;0.2;0;0.607906;0.2;0;-0.05;0.2;0;2.1
0.960017;0.2;0;0.596888;0.2;0;-0.05;0.2;0;2.1
0.970018;0.2;0;0.585507;0.2;0;-0.05;0.2;0;2.1
0.980022;0.2;0;0.573134;0.2;0;-0.05;0.2;0;2.1
0.990015;0.2;0;0.569315;0.2;0;-0.05;0.2;0;2.1
1.000005;0.2;0;0.560675;0.2;0;-0.05;0.2;0;2.1
1.010024;0.2;0;0.555223;0.2;0;-0.05;0.2;0;2.1
1.020018;0.2;0;0.549194;0.2;0;-0.05;0.2;0;2.1
1.030002;0.2;0;0.542377;0.2;0;-0.05;0.2;0;2.1
1.040024;0.2;0;0.533806;0.2;0;-0.05;0.2;0;2.1
1.050019;0.2;0;0.528135;0.2;0;-0.05;0.2;0;2.1
1.060002;0.2;0;0.518416;0.2;0;-0.05;0.2;0;2.1
1.070021;0.2;0;0.513964;0.2;0;-0.05;0.2;0;2.1
1.080026;0.2;0;0.503156;0.2;0;-0.05;0.2;0;2.1
1.090026;0.2;0;0.49852;0.2;0;-0.05;0.2;0;2.1
1.100001;0.2;0;0.492645;0.2;0;-0.05;0.2;0;2.1
1.110007;0.2;0;0.486718;0.2;0;-0.05;0.2;0;2.1
1.120012;0.2;0;0.479528;0.2;0;-0.05;0.2;0;2.1
1.130028;0.2;0;0.471397;0.2;0;-0.05;0.2;0;2.1
1.140018;0.2;0;0.46761;0.2;0;-0.05;0.2;0;2.1
1.150019;0.2;0;0.458026;0.2;0;-0.05;0.2;0;2.1
1.160008;0.2;0;0.449177;0.2;0;-0.05;0.2;0;2.1
1.170030;0.2;0;0.444392;0.2;0;-0.05;0.2;0;2.1
1.180022;0.2;0;0.438915;0.2;0;-0.05;0.2;0;2.1
1.190021;0.2;0;0.437105;0.2;0;-0.05;0.2;0;2.1
1.200014;0.2;0;0.433776;0.2;0;-0.05;0.2;0;2.1
1.210027;0.2;0;0.427635;0.2;0;-0.05;0.2;0;2.1
